SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,3.0000E+01,-1.0144E-01,-2.4491E-05,1.4731E-02,9.9069E-02,0.0000E+00,4.0000E+00,2.0340E-02,3.3237E-03,4.1270E-03,2.9463E-04
1,3.0000E+01,4.5000E+01,-8.5515E-03,5.1551E-02,1.5906E-02,5.0091E-02,0.0000E+00,4.0000E+00,2.4258E-02,9.3945E-04,3.0365E-03,-2.3708E-03
2,3.0000E+01,6.0000E+01,-3.3322E-02,8.2080E-02,1.7134E-02,2.8273E-02,0.0000E+00,4.0000E+00,2.6128E-02,-1.1762E-03,-2.5109E-03,-1.5936E-03
3,3.0000E+01,7.5000E+01,-4.6348E-02,-1.1851E-01,1.8976E-02,2.0403E-02,0.0000E+00,4.0000E+00,2.9150E-02,7.3561E-04,-5.0527E-03,3.7996E-03
4,3.0000E+01,9.0000E+01,-3.0101E-02,-1.8073E-01,1.7348E-02,1.7570E-02,0.0000E+00,4.0000E+00,2.7208E-02,4.8899E-03,-7.3795E-04,3.4544E-03
5,3.0000E+01,1.0500E+02,-1.0664E-01,-8.3849E-02,1.6769E-02,1.3907E-02,0.0000E+00,4.0000E+00,2.3763E-02,7.1993E-03,-8.2631E-04,-9.6869E-04
6,3.0000E+01,1.2000E+02,-1.4771E-01,-1.2454E-01,1.5432E-02,1.0066E-02,0.0000E+00,4.0000E+00,2.1448E-02,4.3864E-03,-2.8252E-03,-3.3344E-05
7,3.0000E+01,1.3500E+02,-8.7867E-02,-2.0066E-01,1.5195E-02,7.9089E-03,0.0000E+00,4.0000E+00,2.2958E-02,1.9818E-03,-8.8091E-04,1.7924E-03
8,3.0000E+01,1.5000E+02,-6.0237E-02,-1.6055E-01,1.7503E-02,7.2387E-03,0.0000E+00,4.0000E+00,2.6387E-02,1.9971E-03,1.3581E-03,2.5881E-03
9,3.0000E+01,1.6500E+02,1.3491E-02,-1.0615E-01,1.5704E-02,7.7293E-03,0.0000E+00,4.0000E+00,2.3158E-02,3.4714E-03,2.0801E-03,7.6314E-04
10,3.0000E+01,1.8000E+02,-1.6508E-02,-9.4356E-02,1.5790E-02,7.2104E-03,0.0000E+00,4.0000E+00,2.3142E-02,4.4150E-03,1.8262E-03,-1.2753E-03
11,3.0000E+01,1.9500E+02,-5.1490E-02,-8.3170E-02,1.8318E-02,6.7009E-03,0.0000E+00,4.0000E+00,2.6043E-02,3.1987E-03,1.2886E-03,-8.7844E-04
12,3.0000E+01,2.1000E+02,-6.5794E-02,-6.6550E-02,1.7400E-02,6.3649E-03,0.0000E+00,4.0000E+00,2.4569E-02,2.8124E-03,-1.6196E-04,-2.2257E-05
13,3.0000E+01,2.2500E+02,-6.6550E-02,-6.7425E-02,1.5773E-02,5.1010E-03,0.0000E+00,4.0000E+00,2.3016E-02,1.8988E-03,-7.7478E-03,5.1119E-04
14,3.0000E+01,2.4000E+02,-1.3851E-02,-2.6803E-01,1.5196E-02,5.3876E-03,0.0000E+00,4.0000E+00,2.4273E-02,1.8847E-03,-6.3030E-03,-3.8810E-05
15,3.0000E+01,2.5500E+02,-9.5415E-03,-2.6825E-01,1.4997E-02,5.7978E-03,0.0000E+00,4.0000E+00,2.3366E-02,1.4920E-06,3.3397E-03,-6.3411E-04
16,3.0000E+01,2.7000E+02,5.4592E-03,-1.8653E-01,1.5366E-02,5.7171E-03,0.0000E+00,4.0000E+00,2.3256E-02,-1.2447E-03,2.4910E-03,-3.2580E-04
17,3.0000E+01,2.8500E+02,1.5367E-02,-1.7445E-01,1.4364E-02,6.3031E-03,0.0000E+00,4.0000E+00,2.0604E-02,-2.2697E-03,1.4058E-03,1.4773E-04
18,3.0000E+01,3.0000E+02,5.5367E-02,-1.4022E-01,1.4283E-02,6.9985E-03,0.0000E+00,4.0000E+00,2.0171E-02,-2.2668E-03,5.9340E-04,-7.0157E-05
19,3.0000E+01,3.1500E+02,3.1880E-02,-1.8038E-01,1.6044E-02,6.4341E-03,0.0000E+00,4.0000E+00,2.3203E-02,-2.0323E-03,1.8676E-04,-1.3288E-03
20,3.0000E+01,3.3000E+02,-2.6435E-02,-1.3944E-01,1.8054E-02,5.2830E-03,0.0000E+00,4.0000E+00,2.7243E-02,-1.6569E-03,2.5952E-03,-1.0283E-03
21,3.0000E+01,3.4500E+02,-1.4676E-02,-7.6032E-02,2.0623E-02,5.3379E-03,0.0000E+00,4.0000E+00,3.1794E-02,-1.3876E-03,2.1209E-03,4.3606E-04
22,3.0000E+01,3.6000E+02,2.6392E-02,-7.9787E-02,1.8298E-02,6.8844E-03,0.0000E+00,4.0000E+00,2.6988E-02,-1.2521E-03,-1.2035E-04,1.0347E-03
23,3.0000E+01,3.7500E+02,5.4256E-02,-1.1127E-01,9.7264E-03,6.4632E-03,0.0000E+00,4.0000E+00,1.4565E-02,2.5933E-03,-5.0712E-04,-2.4994E-03
24,3.0000E+01,3.9000E+02,-1.3723E-01,-2.7986E-02,1.0304E-02,8.8069E-03,0.0000E+00,4.0000E+00,1.4503E-02,5.9785E-03,-1.9356E-03,-4.8123E-03
