SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,8.4000E+02,7.5000E+02,-2.2479E-01,-1.6892E-02,8.9487E-03,5.4448E-02,0.0000E+00,4.0000E+00,1.2768E-02,6.5200E-03,1.7104E-03,-2.6014E-03
1,8.4000E+02,7.6500E+02,-3.3504E-01,4.1145E-02,1.1409E-02,8.2307E-02,0.0000E+00,4.0000E+00,1.7297E-02,8.2371E-03,2.4191E-03,-1.1264E-03
2,8.4000E+02,7.8000E+02,-2.5978E-01,8.8186E-03,1.1938E-02,1.1427E-01,0.0000E+00,4.0000E+00,1.7852E-02,8.7144E-03,-2.9303E-04,1.9388E-03
3,8.4000E+02,7.9500E+02,-1.9841E-01,-3.1849E-02,1.0514E-02,6.1855E-02,0.0000E+00,4.0000E+00,1.5474E-02,5.0172E-03,7.5118E-04,-8.3054E-04
4,8.4000E+02,8.1000E+02,-2.6508E-01,6.9904E-02,9.4821E-03,5.3448E-02,0.0000E+00,4.0000E+00,1.3442E-02,3.8739E-03,4.7288E-03,-2.4783E-03
5,8.4000E+02,8.2500E+02,-3.0534E-01,1.6879E-01,8.6117E-03,1.2458E-01,0.0000E+00,4.0000E+00,1.2347E-02,3.4331E-03,2.0358E-03,-1.4418E-03
6,8.4000E+02,8.4000E+02,-3.0991E-01,1.2012E-01,8.6366E-03,5.5809E-02,0.0000E+00,4.0000E+00,1.2751E-02,2.9450E-03,-2.5437E-03,-6.4999E-04
7,8.4000E+02,8.5500E+02,-2.1413E-01,6.8194E-02,1.0768E-02,3.9281E-02,0.0000E+00,4.0000E+00,1.5666E-02,1.1417E-03,-5.6465E-04,-2.3270E-04
8,8.4000E+02,8.7000E+02,-2.4975E-01,1.0428E-01,1.2227E-02,8.4905E-02,0.0000E+00,4.0000E+00,1.7468E-02,2.4186E-03,2.7696E-03,-2.3616E-03
9,8.4000E+02,8.8500E+02,-3.9354E-01,1.5548E-01,1.2460E-02,1.5584E-01,0.0000E+00,4.0000E+00,1.7846E-02,4.4417E-03,3.0976E-03,-1.2274E-03
10,8.4000E+02,9.0000E+02,-3.0608E-01,1.9319E-01,1.3030E-02,1.2539E-01,0.0000E+00,4.0000E+00,1.8116E-02,6.1571E-03,2.0278E-03,2.4689E-03
11,8.4000E+02,9.1500E+02,-2.0780E-01,1.9194E-01,1.3443E-02,7.0729E-02,0.0000E+00,4.0000E+00,1.8557E-02,4.7649E-03,1.0967E-03,3.8400E-03
12,8.5500E+02,9.1500E+02,-1.2325E-01,2.1236E-01,1.0446E-02,5.1745E-02,0.0000E+00,4.0000E+00,1.4717E-02,3.5750E-03,1.2075E-03,3.3348E-03
13,8.5500E+02,9.0000E+02,-2.4802E-01,1.7905E-01,1.1637E-02,1.3951E-01,0.0000E+00,4.0000E+00,1.6505E-02,4.3885E-03,2.2670E-03,1.9899E-03
14,8.5500E+02,8.8500E+02,-2.5993E-01,1.2814E-01,1.0513E-02,1.7948E-01,0.0000E+00,4.0000E+00,1.5242E-02,3.4577E-03,3.2119E-03,-8.3715E-04
15,8.5500E+02,8.7000E+02,-2.4203E-01,8.2437E-02,9.7481E-03,9.0508E-02,0.0000E+00,4.0000E+00,1.3937E-02,2.1021E-03,2.4395E-03,-1.5712E-03
16,8.5500E+02,8.5500E+02,-2.4679E-01,4.9791E-02,9.5242E-03,8.5142E-02,0.0000E+00,4.0000E+00,1.3776E-02,6.8000E-04,-7.1904E-04,1.5624E-05
17,8.5500E+02,8.4000E+02,-2.3365E-01,1.0051E-01,8.5102E-03,7.1165E-02,0.0000E+00,4.0000E+00,1.2490E-02,9.7804E-04,-1.9297E-03,-2.6331E-04
18,8.5500E+02,8.2500E+02,-2.1673E-01,1.0204E-01,9.3297E-03,1.3641E-01,0.0000E+00,4.0000E+00,1.3340E-02,7.9967E-04,1.1689E-03,-2.3760E-04
19,8.5500E+02,8.1000E+02,-2.7591E-01,2.8696E-02,1.0777E-02,5.7242E-02,0.0000E+00,4.0000E+00,1.5702E-02,-5.5984E-04,3.0280E-03,-8.0047E-04
20,8.5500E+02,7.9500E+02,-1.0225E-01,2.0026E-02,1.3984E-02,4.8496E-02,0.0000E+00,4.0000E+00,2.1429E-02,-4.8711E-04,9.2492E-04,-1.6450E-04
21,8.5500E+02,7.8000E+02,-1.1993E-01,4.4944E-02,1.1320E-02,1.3113E-01,0.0000E+00,4.0000E+00,1.6636E-02,8.4282E-04,1.8433E-03,1.2989E-03
22,8.5500E+02,7.6500E+02,-1.8060E-01,-3.4998E-02,9.5137E-03,9.7914E-02,0.0000E+00,4.0000E+00,1.4447E-02,2.4682E-03,3.7304E-03,-1.3006E-03
23,8.5500E+02,7.5000E+02,-1.5002E-01,-7.4315E-02,8.2721E-03,1.0019E-01,0.0000E+00,4.0000E+00,1.1883E-02,2.3833E-03,7.6013E-04,-2.8979E-03
24,8.5500E+02,7.3500E+02,-1.8893E-01,-7.0036E-02,7.4570E-03,1.2866E-01,0.0000E+00,4.0000E+00,1.0636E-02,2.1851E-03,-1.7582E-03,-3.7114E-04
25,8.5500E+02,7.2000E+02,-2.1339E-01,-2.9502E-02,7.8490E-03,8.5931E-02,0.0000E+00,4.0000E+00,1.1477E-02,3.8652E-03,-1.7367E-03,-2.1304E-04
26,8.5500E+02,7.0500E+02,-2.9138E-01,1.6189E-02,9.7661E-03,7.2655E-02,0.0000E+00,4.0000E+00,1.4263E-02,3.7053E-03,3.3765E-03,-2.5651E-04
27,8.5500E+02,6.9000E+02,-2.7367E-01,-1.2996E-01,1.1864E-02,9.7581E-02,0.0000E+00,4.0000E+00,1.7692E-02,4.3232E-03,9.9822E-04,-7.3884E-04
28,8.5500E+02,6.7500E+02,-2.7465E-01,-3.4166E-02,1.1811E-02,6.7864E-02,0.0000E+00,4.0000E+00,1.7610E-02,-1.0300E-04,-1.0159E-03,-1.1375E-03
29,8.5500E+02,6.6000E+02,-1.9467E-01,-1.0239E-01,1.0138E-02,1.2730E-01,0.0000E+00,4.0000E+00,1.4525E-02,-2.4456E-03,1.8066E-03,-1.1496E-03
30,8.5500E+02,6.4500E+02,-1.8886E-01,-9.8645E-02,8.7336E-03,1.1252E-01,0.0000E+00,4.0000E+00,1.2738E-02,-3.4443E-03,1.5543E-03,-3.3581E-04
31,8.5500E+02,6.3000E+02,-2.4416E-01,-1.2479E-01,9.2133E-03,9.4311E-02,0.0000E+00,4.0000E+00,1.2967E-02,-8.6051E-04,5.3528E-04,-1.1356E-04
